"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
475,443,-1.02969004716656,-1.01431114729912,-0.399578382725435,-0.400367456701838,0.999750028123125,0.999750028123125,-1.04750382443156,-0.997108783461572,-0.399695772361985,-0.400330985033561,0.999725034372422,0.999725034372422,0,0.958507731197504,0.79125,-0.00310989001168094,0.0724254397269396,-0.0118422135472951,0.460249935853217,0.0062594929486996,0.195267033032934,0.268676102987588,0.351404243500264
591,568,-1.04029593990539,0.257137489756477,-0.400087615574232,0.100737681770878,0.999725034372422,0.0999725034372422,-1.02170940822498,0.259996580969348,-0.400070067240042,0.100865338078283,0.999700041246563,0.0999700041246563,0,0.958526858068624,0.79125,-0.00238903951054921,0.0725278989069767,-0.0120683745689574,0.460820211324784,0.0062593257799663,0.195267512760427,0.268669386085014,0.351395458394177
28,1,0.057117438228868,-0.933372678208025,0.099753359272808,-0.399781944771394,0.0999700041246563,0.999700041246563,0.049769707331304,-0.936510021316605,0.09980548822193,-0.399621562850745,0.0999675048745531,0.999675048745531,0,0.948235940932464,0.7925,-0.00973023054241734,0.0710710663846844,-0.00985759442763574,0.460956515224599,0.00626243833051022,0.195266016300305,0.268662669350362,0.351386673507717
185,164,-0.905752601696048,0.330759667989088,-0.400317151995556,0.100118117077403,0.999675048745531,0.0999675048745531,-0.898953519869547,0.325288666164427,-0.400299744897313,0.0999834585336462,0.999650056869313,0.0999650056869313,0,0.948868062559616,0.79375,-0.00950757541155305,0.0713424795200384,-0.0100236213603003,0.460017749600655,0.00626262982790442,0.195270437593934,0.268655952783628,0.351377888840879
221,185,-0.953493833735549,-0.898953519869547,-0.399920823244766,-0.400299744897313,0.999650056869313,0.999650056869313,-0.959666256149967,-0.903870714509886,-0.400016794901039,-0.400273891349494,0.999625065617891,0.999625065617891,0,0.949511465001387,0.79375,-0.00939302832139371,0.0716279693499302,-0.0100278741510018,0.460405490335737,0.00626212976231053,0.195275276012568,0.268649236384808,0.351369104393658
761,770,0.0759536622742808,0.3409471567206,0.0998148743727602,0.099807541086668,0.0999625065617891,0.0999625065617891,0.0738560876941432,0.337450425000392,0.0998209612071709,0.0997811251707261,0.0999600074991251,0.0999600074991251,0,0.94985224026748,0.79375,-0.00870164078346517,0.0716443258402806,-0.0100203517510014,0.460574334471606,0.00625890393990058,0.195282349662635,0.268642520153899,0.351360320166048
133,154,-0.923627087974685,0.301328198782176,-0.400715398293124,0.100123133411667,0.999600074991251,0.0999600074991251,-0.921034512296166,0.302464525073622,-0.40089806515387,0.0999516850051275,0.999575084989376,0.0999575084989376,0,0.938877090364549,0.79625,-0.00876231142169401,0.0719845127818028,-0.00781026453095874,0.460014199259688,0.0062573476668181,0.195285455692083,0.268635804090895,0.351351536158044
385,378,-0.904027429782226,0.16241876153301,-0.400551548010331,0.100787834969217,0.999575084989376,0.0999575084989376,-0.915580236673905,0.146844966162505,-0.400534171630462,0.100791226769243,0.999550095612251,0.0999550095612251,0,0.939557123809197,0.7975,-0.00850333513928039,0.0719841596663801,-0.00795422268685904,0.460274292754037,0.00625890341828497,0.19528951177732,0.268629088195793,0.35134275236964
800,793,-0.972901115126526,0.0998395153001364,-0.400127515372234,0.098726466546795,0.999550095612251,0.0999550095612251,-0.963120504199898,0.101755717696586,-0.400155234500186,0.0985673552286952,0.999525106859861,0.0999525106859861,0,0.940137040939872,0.79625,-0.00887079087052733,0.0725997311864927,-0.00748296716386005,0.46026040773012,0.00626383444869626,0.195280764043984,0.268622372468588,0.351333968800831
202,224,-0.962899145696385,-0.935926858410306,-0.399646819212119,-0.399903912460076,0.999525106859861,0.999525106859861,-0.982864073570387,-0.924772468957235,-0.39952813546492,-0.399904933434001,0.999500118732189,0.999500118732189,0,0.929372051276544,0.79625,-0.0138773493054431,0.0714602052439328,-0.00475108124092715,0.46077649918462,0.00626254465069679,0.19527975545656,0.268615656909276,0.351325185451611
